"time","random_01","random_02","random_03","random_04","random_05","random_06","random_07","random_08","random_09","random_10"
1,-0.4689826737158,-0.63023548014462,-0.663916947320104,0.171600610017776,-0.599571094848216,0.212536595296115,0.977818595711142,-0.0674095172435045,-0.556797205470502,0.0149564063176513
2,-0.25575220072642,0.404748071916401,0.615032798144966,-0.982108408585191,0.370437191333622,0.8752839458175,-0.204509093426168,-0.584353365935385,-0.951532180421054,-0.386462987866253
3,0.145706726703793,0.146652669645846,-0.23011529725045,-0.412520776037127,0.833751549012959,-0.471295864786953,-0.768604442477226,0.599315915256739,-0.585761961061507,-0.146184667013586
4,0.816415579989552,-0.663896159268916,-0.344531365670264,-0.445250084158033,-0.431201085448265,-0.239812161307782,-0.860502642579377,0.303742635529488,-0.568532900884748,0.386204161681235
5,-0.596636137925088,0.887678677681834,0.204201349522918,0.627148429863155,-0.790699744131416,0.614966778084636,-0.512501218821853,-0.356981642078608,-0.112552824430168,-0.829728062264621
6,0.796779369935393,0.886949917301536,0.208788108080626,-0.479144457262009,0.402114918455482,0.956151450518519,0.584020851645619,0.43785500805825,-0.731847699265927,-0.549126767087728
7,0.889350537210703,-0.741682046558708,-0.750733111519367,0.448811785317957,0.0559199685230851,0.915867432951927,-0.319875294342637,-0.418253226205707,-0.218684420455247,-0.450938954018056
8,0.321595584973693,0.666897631250322,-0.410798151511699,0.812184302601963,0.615870401728898,0.525463712867349,0.944125001318753,0.864539626520127,-0.261368456296623,-0.455389867536724
9,0.258228087797761,-0.0639629689976573,0.155219838023186,0.898080442100763,0.9130002502352,0.0192970698699355,-0.668289030902088,0.538293908815831,0.337385913357139,0.231658615637571
10,-0.876427459064871,0.0999674834311008,0.261958548799157,-0.853711061179638,-0.779093962628394,-0.871046409476548,-0.0817926684394479,0.288982273545116,0.984219931997359,-0.140656949020922
11,-0.588050850201398,0.1053481339477,0.0240317950956523,0.509350053966045,-0.453430100809783,0.28714553033933,-0.656503846403211,-0.0859102229587734,-0.764722092077136,0.303311333991587
12,-0.646886494942009,-0.52221048111096,0.0100478283129632,-0.427998758386821,-0.018973596394062,0.831817768514156,-0.537045796401799,-0.821397978812456,-0.983057671692222,0.135475505143404
13,0.374045693315566,0.521026626229286,0.0680707069113851,-0.799892956856638,-0.363191962707788,-0.809534838423133,0.545623891521245,-0.135217253118753,0.766733629163355,-0.772982035763562
14,-0.231792563572526,-0.638359798584133,0.114498871378601,0.90813755011186,0.118345653172582,-0.409254394005984,-0.807396916672587,0.089924231171608,-0.397890584077686,0.191850610543042
15,0.539682839997113,-0.189435637556016,0.735838975291699,-0.16878576297313,-0.474813722539693,0.53986339783296,-0.093104459811002,-0.723551307804883,-0.0145129882730544,-0.28390004998073
16,-0.00460151582956314,0.707096905913204,0.659417386632413,-0.0897951647639275,-0.596249577589333,-0.488212948199362,-0.830598574131727,0.855624504387379,0.00125987734645605,-0.142381163313985
17,0.435237016528845,0.952796978875995,-0.777101693209261,0.942111311946064,-0.224948505870998,0.0357914520427585,0.121331734117121,-0.997396557126194,-0.195931053254753,-0.896193355787545
